min,max,count,mean,year,month,type,index,lat,long
294.0,582.0,90,379.05555555555554,0s_e,ev,2.1_,115,24.26518,73.16282
335.0,711.0,100,469.39,0s_e,ev,2.1_,116,24.26518,73.24244
5.0,10.0,100,6.24,0s_e,ev,2.1_,117,24.18458,71.25181
5.0,15.0,100,9.33,0s_e,ev,2.1_,118,24.18458,71.33144
13.0,22.0,90,17.3,0s_e,ev,2.1_,119,24.18458,71.41106
18.0,31.0,100,24.1,0s_e,ev,2.1_,120,24.18458,71.49069
26.0,43.0,90,35.01111111111111,0s_e,ev,2.1_,121,24.18458,71.57031
38.0,55.0,100,45.77,0s_e,ev,2.1_,122,24.18458,71.64994
48.0,68.0,90,57.55555555555556,0s_e,ev,2.1_,123,24.18458,71.72956
59.0,83.0,100,69.92,0s_e,ev,2.1_,124,24.18458,71.80919
74.0,99.0,90,85.18888888888888,0s_e,ev,2.1_,125,24.18458,71.88882
89.0,114.0,100,100.62,0s_e,ev,2.1_,126,24.18458,71.96844
95.0,129.0,100,111.2,0s_e,ev,2.1_,127,24.18458,72.04807
106.0,136.0,90,122.34444444444445,0s_e,ev,2.1_,128,24.18458,72.12769
130.0,156.0,100,140.72,0s_e,ev,2.1_,129,24.18458,72.20732
142.0,174.0,90,158.01111111111112,0s_e,ev,2.1_,130,24.18458,72.28694
169.0,213.0,100,191.14,0s_e,ev,2.1_,131,24.18458,72.36657
204.0,235.0,90,219.64444444444445,0s_e,ev,2.1_,132,24.18458,72.44619
216.0,287.0,100,244.36,0s_e,ev,2.1_,133,24.18458,72.52582
235.0,645.0,90,338.3222222222222,0s_e,ev,2.1_,134,24.18458,72.60544
233.0,688.0,100,335.67,0s_e,ev,2.1_,135,24.18458,72.68507
242.0,616.0,100,316.8,0s_e,ev,2.1_,136,24.18458,72.76469
243.0,635.0,90,345.1,0s_e,ev,2.1_,137,24.18458,72.84432
196.0,441.0,100,248.49,0s_e,ev,2.1_,138,24.18458,72.92394
199.0,282.0,90,226.77777777777777,0s_e,ev,2.1_,139,24.18458,73.00357
223.0,316.0,100,271.68,0s_e,ev,2.1_,140,24.18458,73.08319
290.0,598.0,90,400.43333333333334,0s_e,ev,2.1_,141,24.18458,73.16282
5.0,10.0,90,6.411111111111111,0s_e,ev,2.1_,142,24.10398,71.25181
6.0,22.0,90,10.833333333333334,0s_e,ev,2.1_,143,24.10398,71.33144
11.0,23.0,81,17.555555555555557,0s_e,ev,2.1_,144,24.10398,71.41106
18.0,35.0,90,26.344444444444445,0s_e,ev,2.1_,145,24.10398,71.49069
31.0,43.0,81,35.358024691358025,0s_e,ev,2.1_,146,24.10398,71.57031
37.0,77.0,90,44.31111111111111,0s_e,ev,2.1_,147,24.10398,71.64994
47.0,79.0,81,53.74074074074074,0s_e,ev,2.1_,148,24.10398,71.72956
55.0,73.0,90,62.27777777777778,0s_e,ev,2.1_,149,24.10398,71.80919
65.0,86.0,81,74.14814814814815,0s_e,ev,2.1_,150,24.10398,71.88882
74.0,97.0,90,85.27777777777777,0s_e,ev,2.1_,151,24.10398,71.96844
81.0,111.0,90,94.9,0s_e,ev,2.1_,152,24.10398,72.04807
96.0,127.0,81,114.09876543209876,0s_e,ev,2.1_,153,24.10398,72.12769
108.0,138.0,90,124.44444444444444,0s_e,ev,2.1_,154,24.10398,72.20732
130.0,168.0,81,146.39506172839506,0s_e,ev,2.1_,155,24.10398,72.28694
154.0,198.0,90,174.67777777777778,0s_e,ev,2.1_,156,24.10398,72.36657
175.0,212.0,81,197.55555555555554,0s_e,ev,2.1_,157,24.10398,72.44619
205.0,247.0,90,223.36666666666667,0s_e,ev,2.1_,158,24.10398,72.52582
199.0,251.0,81,225.1358024691358,0s_e,ev,2.1_,159,24.10398,72.60544
208.0,319.0,90,236.25555555555556,0s_e,ev,2.1_,160,24.10398,72.68507
195.0,627.0,90,298.1222222222222,0s_e,ev,2.1_,161,24.10398,72.76469
200.0,605.0,81,287.5432098765432,0s_e,ev,2.1_,162,24.10398,72.84432
183.0,415.0,90,215.55555555555554,0s_e,ev,2.1_,163,24.10398,72.92394
193.0,243.0,81,212.40740740740742,0s_e,ev,2.1_,164,24.10398,73.00357
216.0,281.0,90,244.64444444444445,0s_e,ev,2.1_,165,24.10398,73.08319
254.0,496.0,81,332.48148148148147,0s_e,ev,2.1_,166,24.10398,73.16282
297.0,714.0,90,454.02222222222224,0s_e,ev,2.1_,167,24.10398,73.24244
3.0,6.0,100,4.75,0s_e,ev,2.1_,168,24.02338,71.25181
4.0,22.0,100,8.53,0s_e,ev,2.1_,169,24.02338,71.33144
11.0,37.0,90,18.966666666666665,0s_e,ev,2.1_,170,24.02338,71.41106
19.0,39.0,100,26.69,0s_e,ev,2.1_,171,24.02338,71.49069
27.0,48.0,90,34.81111111111111,0s_e,ev,2.1_,172,24.02338,71.57031
35.0,57.0,100,40.92,0s_e,ev,2.1_,173,24.02338,71.64994
